bet_type,initial_balance,target_balance,min_bet,rounds,final_balance
red,1000,2000,1,514,200
red,1000,2000,1,204,60
red,1000,2000,1,781,361
red,1000,2000,1,711,297
red,1000,2000,1,947,396
red,1000,2000,1,829,347
red,1000,,1,2197,2000
red,1000,2000,1,410,176
red,1000,2000,1,1872,863
red,1000,2000,1,690,278
red,1000,2000,1,275,92
red,1000,,1,2162,2000
red,1000,,1,2127,2000
red,1000,2000,1,200,60
red,1000,2000,1,523,208
red,1000,2000,1,1046,489
red,1000,2000,1,756,339
red,1000,,1,2071,2000
red,1000,2000,1,193,52
red,1000,,1,2139,2000
red,1000,2000,1,1529,683
red,1000,,1,2186,2000
red,1000,2000,1,147,41
red,1000,2000,1,139,38
red,1000,2000,1,1923,865
red,1000,2000,1,1856,838
red,1000,2000,1,235,84
red,1000,2000,1,1461,691
red,1000,2000,1,1552,705
red,1000,2000,1,540,229
red,1000,2000,1,11,491
red,1000,2000,1,305,109
red,1000,2000,1,315,116
red,1000,2000,1,285,118
red,1000,2000,1,1181,516
red,1000,2000,1,1423,651
red,1000,2000,1,1152,502
red,1000,2000,1,15,491
red,1000,2000,1,314,124
red,1000,2000,1,2183,976
red,1000,2000,1,146,48
red,1000,2000,1,408,146
red,1000,2000,1,1174,549
red,1000,2000,1,269,118
red,1000,2000,1,55,504
red,1000,2000,1,212,80
red,1000,2000,1,1699,768
red,1000,2000,1,548,237
red,1000,,1,2164,2000
red,1000,2000,1,17,495
red,1000,2000,1,147,38
red,1000,2000,1,325,113
red,1000,,1,2126,2000
red,1000,2000,1,529,210
red,1000,2000,1,37,495
red,1000,2000,1,570,238
red,1000,2000,1,889,399
red,1000,2000,1,343,142
red,1000,2000,1,1774,810
red,1000,2000,1,435,176
red,1000,2000,1,973,412
red,1000,2000,1,268,95
red,1000,2000,1,252,81
red,1000,2000,1,152,43
red,1000,2000,1,751,325
red,1000,2000,1,36,509
red,1000,2000,1,77,5
red,1000,,1,2091,2000
red,1000,2000,1,557,226
red,1000,2000,1,233,84
red,1000,2000,1,1066,465
red,1000,2000,1,1127,511
red,1000,2000,1,1207,522
red,1000,2000,1,1333,578
red,1000,2000,1,2086,956
red,1000,2000,1,885,386
red,1000,2000,1,75,17
red,1000,2000,1,1573,758
red,1000,2000,1,704,294
red,1000,2000,1,303,111
red,1000,,1,2057,2000
red,1000,2000,1,75,10
red,1000,,1,2146,2000
red,1000,2000,1,833,344
red,1000,,1,2196,2000
red,1000,2000,1,302,111
red,1000,2000,1,1437,644
red,1000,2000,1,1434,667
red,1000,2000,1,1314,616
red,1000,2000,1,1964,888
red,1000,2000,1,231,72
red,1000,2000,1,1834,821
red,1000,2000,1,978,420
red,1000,2000,1,1297,590
red,1000,2000,1,109,24
red,1000,2000,1,225,79
red,1000,2000,1,181,58
red,1000,,1,2157,2000
red,1000,2000,1,1466,644
red,1000,2000,1,1266,555
